weather,source,band,n,rmse_within,rmse_cross,bias_cross,slope,intercept,under_pct
nw,Trina_monoSi,0-200,104,0.008182240683795158,0.05893579152028202,-0.05328804220998636,,,
nw,Trina_monoSi,200-400,71,0.027582185098129666,0.09997098026094897,-0.0950395147998446,,,
nw,Trina_monoSi,400-600,109,0.02461353314926402,0.06633829160741987,-0.06157550255189759,,,
nw,Trina_monoSi,600-800,85,0.03379651580141891,0.04938785574668816,-0.03558551172572688,,,
nw,Trina_monoSi,800-1000,42,0.04481901344577654,0.11434774851592384,-0.10048859710678987,,,
nw,Trina_monoSi,>1000,1,0.11211988324409528,0.057563862853081016,-0.057563862853081016,,,
nw,Trina_monoSi,ALL,412,0.027914501748665006,0.07488368971163285,-0.06384549795342094,0.9977009325214793,0.06483573580502372,97.57281553398059
nw,AU+US pooled,0-200,104,0.008182240683795158,0.03457933189739052,-0.030769704902527308,,,
nw,AU+US pooled,200-400,71,0.027582185098129666,0.07271290790699288,-0.06648422248001173,,,
nw,AU+US pooled,400-600,109,0.02461353314926402,0.07324337229059223,-0.06940595169223311,,,
nw,AU+US pooled,600-800,85,0.03379651580141891,0.06425718390465203,-0.054149946013034224,,,
nw,AU+US pooled,800-1000,42,0.04481901344577654,0.11046680363794917,-0.09809439972123814,,,
nw,AU+US pooled,>1000,1,0.11211988324409528,0.04476037302636493,-0.04476037302636493,,,
nw,AU+US pooled,ALL,412,0.027914501748665006,0.06879643127566194,-0.058866865079668346,1.0560625095728084,0.03444090847712559,97.81553398058253
w,Trina_monoSi,0-200,104,0.014045552091289026,0.05944620035511929,-0.05233132120066908,,,
w,Trina_monoSi,200-400,71,0.026460712693315618,0.10882338804369923,-0.10359865376987322,,,
w,Trina_monoSi,400-600,109,0.02487144604492151,0.09392915864239956,-0.08713841547679414,,,
w,Trina_monoSi,600-800,85,0.03339657420080288,0.09290002156651746,-0.0799932963846019,,,
w,Trina_monoSi,800-1000,42,0.04835770259573971,0.1384431969682444,-0.1264771173004673,,,
w,Trina_monoSi,>1000,1,0.07900389607653246,0.04988407612080148,-0.04988407612080148,,,
w,Trina_monoSi,ALL,412,0.028596432960097992,0.09490772675100156,-0.0836344716139144,1.047159186984606,0.06425563680931944,98.54368932038835
w,AU+US pooled,0-200,104,0.014045552091289026,0.03835431071221454,-0.033055903699283136,,,
w,AU+US pooled,200-400,71,0.026460712693315618,0.08106080102754273,-0.07301694257285621,,,
w,AU+US pooled,400-600,109,0.02487144604492151,0.09820515485102119,-0.09279497811053662,,,
w,AU+US pooled,600-800,85,0.03339657420080288,0.09910888261803723,-0.08906233238483162,,,
w,AU+US pooled,800-1000,42,0.04835770259573971,0.13412436928555846,-0.12404630565603515,,,
w,AU+US pooled,>1000,1,0.07900389607653246,0.048578220215767076,-0.048578220215767076,,,
w,AU+US pooled,ALL,412,0.028596432960097992,0.08900167086042596,-0.07661526900953072,1.0986766466838072,0.03537404981006884,98.7864077669903
