weather,zone,n_test,R2
nw,central_highlands,41613,0.9958850564140334
nw,coromandel_ne_monsoon,41926,0.9966054622507863
nw,deccan_semiarid,62435,0.996117268937908
nw,eastern_humid,41490,0.9918566274754189
nw,gangetic_plain,62512,0.9945282354503578
nw,konkan_sw_monsoon,62234,0.9978329926234984
nw,northeast_hills,40970,0.9796327527550085
nw,southern_peninsula,42441,0.997026761992353
nw,thar_arid,62910,0.9940028853597382
nw,trans_himalaya,41872,0.9114248435968559
w,central_highlands,41613,0.9985237302584977
w,coromandel_ne_monsoon,41926,0.9981654976246755
w,deccan_semiarid,62435,0.9973436078988526
w,eastern_humid,41490,0.9953709849775466
w,gangetic_plain,62512,0.9965461704005615
w,konkan_sw_monsoon,62234,0.9985654622066593
w,northeast_hills,40970,0.9844402591085111
w,southern_peninsula,42441,0.9987728272315847
w,thar_arid,62910,0.9950249076639242
w,trans_himalaya,41872,0.769137461355293
