weather,seed,source,target,direction,R2,within_target,gap
nw,42,KagglePlant1_India,KagglePlant1_India,within,0.9835369315035036,0.9835369315035036,0.0
nw,42,Calyxo_CdTe,KagglePlant1_India,to-India,0.940005564544198,0.9835369315035036,0.043531366959305595
nw,42,Kyocera_polySi,KagglePlant1_India,to-India,0.9054502963176205,0.9835369315035036,0.0780866351858831
nw,42,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9636002573987443,0.9835369315035036,0.0199366741047593
nw,42,Trina_monoSi,KagglePlant1_India,to-India,0.932566084892165,0.9835369315035036,0.05097084661133866
nw,42,KagglePlant1_India,Calyxo_CdTe,from-India,0.9139384656544818,0.9561279681349709,0.04218950248048914
nw,42,KagglePlant1_India,Kyocera_polySi,from-India,0.8852614056066048,0.9490762990451852,0.06381489343858038
nw,42,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9540782704342443,0.9787564431802899,0.024678172746045557
nw,42,KagglePlant1_India,Trina_monoSi,from-India,0.8665946266384494,0.9212738791000534,0.05467925246160399
nw,1,KagglePlant1_India,KagglePlant1_India,within,0.9830182682818485,0.9830182682818485,0.0
nw,1,Calyxo_CdTe,KagglePlant1_India,to-India,0.9400145335191612,0.9830182682818485,0.04300373476268726
nw,1,Kyocera_polySi,KagglePlant1_India,to-India,0.9052587735004577,0.9830182682818485,0.07775949478139077
nw,1,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9638200115105625,0.9830182682818485,0.01919825677128595
nw,1,Trina_monoSi,KagglePlant1_India,to-India,0.9324097130443616,0.9830182682818485,0.05060855523748686
nw,1,KagglePlant1_India,Calyxo_CdTe,from-India,0.9140232108072948,0.9570656220070797,0.043042411199784913
nw,1,KagglePlant1_India,Kyocera_polySi,from-India,0.885369168325802,0.9497946309138103,0.0644254625880083
nw,1,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9541059444390244,0.9806148868165465,0.026508942377522104
nw,1,KagglePlant1_India,Trina_monoSi,from-India,0.866663619036792,0.9136310355079941,0.04696741647120206
nw,2,KagglePlant1_India,KagglePlant1_India,within,0.9929801182901632,0.9929801182901632,0.0
nw,2,Calyxo_CdTe,KagglePlant1_India,to-India,0.9399140251085101,0.9929801182901632,0.05306609318165312
nw,2,Kyocera_polySi,KagglePlant1_India,to-India,0.9054085393244587,0.9929801182901632,0.08757157896570444
nw,2,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9637663086241703,0.9929801182901632,0.02921380966599285
nw,2,Trina_monoSi,KagglePlant1_India,to-India,0.9323456530774576,0.9929801182901632,0.060634465212705546
nw,2,KagglePlant1_India,Calyxo_CdTe,from-India,0.9137703888073454,0.9594463810149072,0.0456759922075618
nw,2,KagglePlant1_India,Kyocera_polySi,from-India,0.8851628184851221,0.9481584427688667,0.06299562428374461
nw,2,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9541879688144109,0.9754683234912453,0.021280354676834423
nw,2,KagglePlant1_India,Trina_monoSi,from-India,0.866247693265639,0.9287392973289799,0.062491604063340866
nw,7,KagglePlant1_India,KagglePlant1_India,within,0.9935530486911301,0.9935530486911301,0.0
nw,7,Calyxo_CdTe,KagglePlant1_India,to-India,0.939740120769148,0.9935530486911301,0.05381292792198211
nw,7,Kyocera_polySi,KagglePlant1_India,to-India,0.905316026441363,0.9935530486911301,0.08823702224976715
nw,7,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9636916717806818,0.9935530486911301,0.029861376910448323
nw,7,Trina_monoSi,KagglePlant1_India,to-India,0.9323149918191342,0.9935530486911301,0.061238056871995905
nw,7,KagglePlant1_India,Calyxo_CdTe,from-India,0.913365896665598,0.9590104334528353,0.045644536787237344
nw,7,KagglePlant1_India,Kyocera_polySi,from-India,0.8845698620068564,0.9449543853339443,0.06038452332708788
nw,7,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9539133843948635,0.9818380660147509,0.02792468161988737
nw,7,KagglePlant1_India,Trina_monoSi,from-India,0.8658112885369423,0.8945383662041835,0.02872707766724114
nw,123,KagglePlant1_India,KagglePlant1_India,within,0.9836844671777166,0.9836844671777166,0.0
nw,123,Calyxo_CdTe,KagglePlant1_India,to-India,0.9404112593839324,0.9836844671777166,0.043273207793784185
nw,123,Kyocera_polySi,KagglePlant1_India,to-India,0.9053603629396781,0.9836844671777166,0.07832410423803848
nw,123,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9636088142463168,0.9836844671777166,0.02007565293139979
