weather,source,seed,k,method,R2,gap,recovery
nw,Trina_monoSi,42,82,zero_shot,0.9285785107222122,0.05805086535533599,0.0
nw,Trina_monoSi,42,82,CORAL,0.9285785107222122,0.05805086535533599,0.0
nw,Trina_monoSi,42,82,importance_weight,0.9271183618563312,0.05805086535533599,-0.025152921613540713
nw,Trina_monoSi,42,82,few_shot_tree,0.9286605837551153,0.05805086535533599,0.0014138123936776232
nw,Trina_monoSi,42,82,mlp_finetune,0.9766458954660483,0.05805086535533599,0.8280218468684339
nw,Trina_monoSi,42,82,within_target,0.9866293760775482,0.05805086535533599,1.0
nw,Trina_monoSi,1,82,zero_shot,0.9283967554722548,0.05946521953603623,0.0
nw,Trina_monoSi,1,82,CORAL,0.9283967554722548,0.05946521953603623,0.0
nw,Trina_monoSi,1,82,importance_weight,0.9311750628960306,0.05946521953603623,0.0467215532954042
nw,Trina_monoSi,1,82,few_shot_tree,0.9301303424664314,0.05946521953603623,0.029152957101690878
nw,Trina_monoSi,1,82,mlp_finetune,0.9815386410526432,0.05946521953603623,0.8936633210978764
nw,Trina_monoSi,1,82,within_target,0.987861975008291,0.05946521953603623,1.0
nw,Trina_monoSi,2,82,zero_shot,0.929473913892949,0.06019849000106725,0.0
nw,Trina_monoSi,2,82,CORAL,0.929473913892949,0.06019849000106725,0.0
nw,Trina_monoSi,2,82,importance_weight,0.9278876463141017,0.06019849000106725,-0.026350620735157232
nw,Trina_monoSi,2,82,few_shot_tree,0.9295676893418892,0.06019849000106725,0.0015577707835947121
nw,Trina_monoSi,2,82,mlp_finetune,0.9814610420188687,0.06019849000106725,0.8635952185012962
nw,Trina_monoSi,2,82,within_target,0.9896724038940162,0.06019849000106725,1.0
nw,Trina_monoSi,7,82,zero_shot,0.9295765174716625,0.0625880719577947,0.0
nw,Trina_monoSi,7,82,CORAL,0.9295765174716625,0.0625880719577947,0.0
nw,Trina_monoSi,7,82,importance_weight,0.9327154834442721,0.0625880719577947,0.050152782701572377
nw,Trina_monoSi,7,82,few_shot_tree,0.9304587032910883,0.0625880719577947,0.014095110966522073
nw,Trina_monoSi,7,82,mlp_finetune,0.9801094980871128,0.0625880719577947,0.8073899552222418
nw,Trina_monoSi,7,82,within_target,0.9921645894294572,0.0625880719577947,1.0
nw,Trina_monoSi,123,82,zero_shot,0.9348972960634028,0.052409981801141536,0.0
nw,Trina_monoSi,123,82,CORAL,0.9348972960634028,0.052409981801141536,0.0
nw,Trina_monoSi,123,82,importance_weight,0.94042266342957,0.052409981801141536,0.10542585927871699
nw,Trina_monoSi,123,82,few_shot_tree,0.9348616991439721,0.052409981801141536,-0.0006792011408386714
nw,Trina_monoSi,123,82,mlp_finetune,0.9820985032604092,0.052409981801141536,0.9006148366183614
nw,Trina_monoSi,123,82,within_target,0.9873072778645443,0.052409981801141536,1.0
nw,NIST_Ground_monoSi,42,82,zero_shot,0.9600555598458105,0.026573816231737712,0.0
nw,NIST_Ground_monoSi,42,82,CORAL,0.9600555598458105,0.026573816231737712,0.0
nw,NIST_Ground_monoSi,42,82,importance_weight,0.9596716194263003,0.026573816231737712,-0.014448072349188112
nw,NIST_Ground_monoSi,42,82,few_shot_tree,0.9609555826304483,0.026573816231737712,0.03386878184108677
nw,NIST_Ground_monoSi,42,82,mlp_finetune,0.9717699767074215,0.026573816231737712,0.4408255389235444
nw,NIST_Ground_monoSi,42,82,within_target,0.9866293760775482,0.026573816231737712,1.0
nw,NIST_Ground_monoSi,1,82,zero_shot,0.9645462621479921,0.023315712860298876,0.0
nw,NIST_Ground_monoSi,1,82,CORAL,0.9645462621479921,0.023315712860298876,0.0
nw,NIST_Ground_monoSi,1,82,importance_weight,0.9648769878466399,0.023315712860298876,0.014184670253463698
nw,NIST_Ground_monoSi,1,82,few_shot_tree,0.966794723750827,0.023315712860298876,0.09643546462881128
nw,NIST_Ground_monoSi,1,82,mlp_finetune,0.9771881318278575,0.023315712860298876,0.5422038672208672
nw,NIST_Ground_monoSi,1,82,within_target,0.987861975008291,0.023315712860298876,1.0
nw,NIST_Ground_monoSi,2,82,zero_shot,0.9628501860174181,0.02682221787659811,0.0
nw,NIST_Ground_monoSi,2,82,CORAL,0.9628501860174181,0.02682221787659811,0.0
nw,NIST_Ground_monoSi,2,82,importance_weight,0.9626396133162334,0.02682221787659811,-0.007850681929195056
nw,NIST_Ground_monoSi,2,82,few_shot_tree,0.9639595279621497,0.02682221787659811,0.04135906843480819
nw,NIST_Ground_monoSi,2,82,mlp_finetune,0.9745682809107622,0.02682221787659811,0.4368801620826404
nw,NIST_Ground_monoSi,2,82,within_target,0.9896724038940162,0.02682221787659811,1.0
nw,NIST_Ground_monoSi,7,82,zero_shot,0.9596410095352194,0.03252357989423782,0.0
nw,NIST_Ground_monoSi,7,82,CORAL,0.9596410095352194,0.03252357989423782,0.0
nw,NIST_Ground_monoSi,7,82,importance_weight,0.9597181530564484,0.03252357989423782,0.0023719258913030544
nw,NIST_Ground_monoSi,7,82,few_shot_tree,0.9618543447150856,0.03252357989423782,0.06805324589309282
nw,NIST_Ground_monoSi,7,82,mlp_finetune,0.9719261153709223,0.03252357989423782,0.37772920064926535
nw,NIST_Ground_monoSi,7,82,within_target,0.9921645894294572,0.03252357989423782,1.0
nw,NIST_Ground_monoSi,123,82,zero_shot,0.965106839333616,0.022200438530928346,0.0
nw,NIST_Ground_monoSi,123,82,CORAL,0.965106839333616,0.022200438530928346,0.0
nw,NIST_Ground_monoSi,123,82,importance_weight,0.9633536590672439,0.022200438530928346,-0.07897052411508128
nw,NIST_Ground_monoSi,123,82,few_shot_tree,0.9653554454672879,0.022200438530928346,0.011198253283402645
nw,NIST_Ground_monoSi,123,82,mlp_finetune,0.9750977615905553,0.022200438530928346,0.45003265331991305
nw,NIST_Ground_monoSi,123,82,within_target,0.9873072778645443,0.022200438530928346,1.0
