seed,source,target,type,R2,gap
42,Calyxo_CdTe,Calyxo_CdTe,within,0.9723517152028227,0.0
42,Kyocera_polySi,Kyocera_polySi,within,0.9697263505092077,0.0
42,NIST_Ground_monoSi,NIST_Ground_monoSi,within,0.9867349240576331,0.0
42,Trina_monoSi,Trina_monoSi,within,0.9446016512106569,0.0
42,Calyxo_CdTe,Kyocera_polySi,cross-technology,0.9683703005087673,0.0013560500004404785
42,Calyxo_CdTe,NIST_Ground_monoSi,cross-climate,0.9710517579987459,0.0156831660588872
42,Calyxo_CdTe,Trina_monoSi,cross-technology,0.9414902432748037,0.003111407935853183
42,Kyocera_polySi,Calyxo_CdTe,cross-technology,0.970403887420378,0.0019478277824447332
42,Kyocera_polySi,NIST_Ground_monoSi,cross-climate,0.9528108825384174,0.033924041519215686
42,Kyocera_polySi,Trina_monoSi,cross-technology,0.9436909464998962,0.0009107047107607125
42,NIST_Ground_monoSi,Calyxo_CdTe,cross-climate,0.9533551527009392,0.01899656250188353
42,NIST_Ground_monoSi,Kyocera_polySi,cross-climate,0.9390723411097089,0.030654009399498805
42,NIST_Ground_monoSi,Trina_monoSi,cross-climate,0.9112085205607869,0.03339313064986993
42,Trina_monoSi,Calyxo_CdTe,cross-technology,0.9618044019444565,0.01054731325836622
42,Trina_monoSi,Kyocera_polySi,cross-technology,0.9627472908155337,0.006979059693674072
42,Trina_monoSi,NIST_Ground_monoSi,cross-climate,0.9457244150562036,0.04101050900142944
1,Calyxo_CdTe,Calyxo_CdTe,within,0.9720348695824415,0.0
1,Kyocera_polySi,Kyocera_polySi,within,0.9725516074761266,0.0
1,NIST_Ground_monoSi,NIST_Ground_monoSi,within,0.9888107604762246,0.0
1,Trina_monoSi,Trina_monoSi,within,0.9444702472228086,0.0
1,Calyxo_CdTe,Kyocera_polySi,cross-technology,0.9683591147210308,0.004192492755095811
1,Calyxo_CdTe,NIST_Ground_monoSi,cross-climate,0.972024642559379,0.01678611791684559
1,Calyxo_CdTe,Trina_monoSi,cross-technology,0.9413963947797488,0.003073852443059799
1,Kyocera_polySi,Calyxo_CdTe,cross-technology,0.9703869471097405,0.0016479224727009578
